,Incident,Location,Reported Date,Occured Date,Comments,Disposition,UCPDI#
3117,Theft,5550 S. University (Crown Field House),3/24/12 5:58 PM,3/24/12 4:30 PM to 5:50 PM,Cell phone taken from pocket of jacket left unattended in open area of the field house,Open,B00243
3118,Assault,1600 E. 53rd St. (Metra Platform),3/23/12 2:34 PM,3/21/12 4:45 PM,Woman reported that an unknown male uttered words to her that placed her in fear for her safety,Open,B00240
3119,Theft,5020 S. Cornell (Hyde Park Arts Center),3/23/12 4:38 PM,3/23/12 10:00 AM to 4:00 PM,Unknown person took an unattended bag containing personal items from an unsecured office,Open,B00241
3120,Recovered Motor Vehicle,Ellis between 57th &amp; 58th ,3/22/12 1:12 PM,3/22/12 1:12 PM,UCPD officers recovered a car that had been reported stolen,Closed,B00238
3121,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1332306000,,,,,,
3122,Information Report,63rd &amp; Cottage Grove (CTA Station),3/20/12 5:20 AM,3/20/12 5:19 AM,Information relating to a death investigation being conducted by Chicago Police,Closed,B00235
3123,Injured Person,970 E. 58th St. (Book Store),3/19/12 11:49 AM,3/19/12 11:40 AM,Woman fell on the steps on the 2nd floor causing contusions to her face and right foot / Declined medical attention,Closed,B00232
3124,Theft,1554 E. 55th St.,3/19/12 2:06 PM,3/19/12 1:55 PM,UCPD officers arrested two males who took merchandise from a store without paying for same,Arrest,B00233
3125,Traffic Crash,5840 S. Maryland,3/18/12 3:25 PM,3/18/12 3:20 PM,Traffic Crash Report,Closed,B00230
3126,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1331960400,,,,,,
3127,Theft,970 E. 58th St. (Book Store),3/16/12 12:35 PM,3/16/12 12:34 PM,UCPD officers arrested a man for taking food items from the store without paying for same,Arrest,B00227
3128,Theft,1100 E. 57th St. (Regenstein Bike Rack),3/15/12 12:57 PM,3/15/12 9:30 AM to 12:30 PM,Unknown person took a bicycle that was secured to the bike rack with a cable lock,Open,B00225
3129,Theft from Motor Vehicle,Hyde Park between Blackstone &amp; Harper,3/14/12 8:07 AM,3/14/12 12:00 AM to 7:50 AM,Unknown person smashed rear passenger's side window of a vehicle parked on the street / Wallet taken,Open,B00219
3130,Theft from Motor Vehicle,Ingleside between 54th &amp; 55th,3/14/12 11:17 AM,3/14/12 3:00 AM to 9:30 AM,Unknown person took a catalytic converter from a vehicle parked on the street,Open,B00220
3131,Theft  ,59th between Dorchester &amp; Blackstone,3/14/12 12:43 PM,3/14/12 12:30 AM to 10:30 AM,Bike secured to a tree on the public way was taken by an unknown person,Open,B00222
3132,Theft,5845 S. Ellis (Goodspeed Hall),3/14/12 1:01 PM,3/9/12 6:30 PM to 7:00 PM,Unattended back pack containing a laptop computer taken from an unsecured room,Open,B00221
3133,Traffic Crash,5100 S. Greenwood,3/13/12 9:55 AM,3/7/12 9:45 PM,Traffic Crash Report,Closed,B00213
3134,Void,Void,Void,Void,Number generated in error,Void,B00214
3135,Unlawful Use of a Weapon,Drexel at 62nd,3/13/12 4:38 PM,3/13/12 4:38 PM,UCPD officers arrested two males for felony possession of a firearm and reckless conduct,Arrest,B00218
3136,Theft from Motor Vehicle,Kenwood between 57th &amp; 58th,3/13/12 5:06 PM,3/12/12 to 3/13/12  7:00 PM to 5:00 PM,Unknown person took catalytic converter from a vehicle parked on the street,Open,B00215
3137,Non-Criminal Event,950 E. 59th St. (Wyler Hospital),3/12/12 6:31 AM,3/6/12 to 3/12/12 12:00 PM to 5:40 AM,Staff member reported an unknown substance was spilled on equipment in office,Closed,B00211
3138,Theft,940 E. 57th St. (Pritzker School of Medicine - Bike Rack),3/12/12 6:14 PM,3/12/12 9:00 AM to 6:00 PM,Unknown person removed lock and took a secured bicycle from bike rack,Open,B00212
3139,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1331442000,,,,,,
3140,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1331355600,,,,,,
3141,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1331269200,,,,,,
3142,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1331182800,,,,,,
3143,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1331096400,,,,,,
3144,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1331010000,,,,,,
3145,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1330923600,,,,,,
3146,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1330837200,,,,,,
3147,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1330750800,,,,,,
3148,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1330664400,,,,,,
3149,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1330578000,,,,,,
3150,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1330491600,,,,,,
3151,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1330405200,,,,,,
3152,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1330318800,,,,,,
3153,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1330232400,,,,,,
3154,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1330146000,,,,,,
3155,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1330059600,,,,,,
3156,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1329973200,,,,,,
3157,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1329886800,,,,,,
3158,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1329800400,,,,,,
3159,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1329714000,,,,,,
3160,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1329627600,,,,,,
3161,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1329541200,,,,,,
3162,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1329454800,,,,,,
3163,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1329368400,,,,,,
3164,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1329282000,,,,,,
3165,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1329195600,,,,,,
3166,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1329109200,,,,,,
3167,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1329022800,,,,,,
3168,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1328936400,,,,,,
3169,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1328850000,,,,,,
3170,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1328763600,,,,,,
3171,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1328677200,,,,,,
3172,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1328590800,,,,,,
3173,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1328504400,,,,,,
3174,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1328418000,,,,,,
3175,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1328331600,,,,,,
3176,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1328245200,,,,,,
3177,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1328158800,,,,,,
3178,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1328072400,,,,,,
3179,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1327986000,,,,,,
3180,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1327899600,,,,,,
3181,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1327813200,,,,,,
3182,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1327726800,,,,,,
3183,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1327640400,,,,,,
3184,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1327554000,,,,,,
3185,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1327467600,,,,,,
3186,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1327381200,,,,,,
3187,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1327294800,,,,,,
3188,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1327208400,,,,,,
3189,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1327122000,,,,,,
3190,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1327035600,,,,,,
3191,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1326949200,,,,,,
3192,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1326862800,,,,,,
3193,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1326776400,,,,,,
3194,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1326690000,,,,,,
3195,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1326603600,,,,,,
3196,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1326517200,,,,,,
3197,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1326430800,,,,,,
3198,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1326344400,,,,,,
3199,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1326258000,,,,,,
3200,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1326171600,,,,,,
3201,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1326085200,,,,,,
3202,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1325998800,,,,,,
3203,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1325912400,,,,,,
3204,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1325826000,,,,,,
3205,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1325739600,,,,,,
3206,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1325653200,,,,,,
3207,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1325566800,,,,,,
3208,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1325480400,,,,,,
3209,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1325394000,,,,,,
3210,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1325307600,,,,,,
3211,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1325221200,,,,,,
3212,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1325134800,,,,,,
3213,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1325048400,,,,,,
3214,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1324962000,,,,,,
3215,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1324875600,,,,,,
3216,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1324789200,,,,,,
3217,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1324702800,,,,,,
3218,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1324616400,,,,,,
3219,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1324530000,,,,,,
3220,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1324443600,,,,,,
3221,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1324357200,,,,,,
3222,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1324270800,,,,,,
3223,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1324184400,,,,,,
3224,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1324098000,,,,,,
3225,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1324011600,,,,,,
3226,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1323925200,,,,,,
3227,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1323838800,,,,,,
3228,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1323752400,,,,,,
3229,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1323666000,,,,,,
3230,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1323579600,,,,,,
3231,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1323493200,,,,,,
3232,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1323406800,,,,,,
3233,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1323320400,,,,,,
3234,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1323234000,,,,,,
3235,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1323147600,,,,,,
3236,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1323061200,,,,,,
3237,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1322974800,,,,,,
3238,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1322888400,,,,,,
3239,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1322802000,,,,,,
3240,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1322715600,,,,,,
3241,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1322629200,,,,,,
3242,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1322542800,,,,,,
3243,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1322456400,,,,,,
3244,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1322370000,,,,,,
3245,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1322283600,,,,,,
3246,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1322197200,,,,,,
3247,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1322110800,,,,,,
3248,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1322024400,,,,,,
3249,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1321938000,,,,,,
3250,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1321851600,,,,,,
3251,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1321765200,,,,,,
3252,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1321678800,,,,,,
3253,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1321592400,,,,,,
3254,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1321506000,,,,,,
3255,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1321419600,,,,,,
3256,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1321333200,,,,,,
3257,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1321246800,,,,,,
3258,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1321160400,,,,,,
3259,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1321074000,,,,,,
3260,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1320987600,,,,,,
3261,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1320901200,,,,,,
3262,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1320814800,,,,,,
3263,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1320728400,,,,,,
3264,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1320642000,,,,,,
3265,Unlawful Possession of a Weapon,Harper between 60th &amp; 61st,11/6/11 12:32 AM,11/6/11 12:32 AM,Man arrested for unlawful possession of a firearm,Arrest,A00816
3266,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1320469200,,,,,,
3267,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1320382800,,,,,,
3268,Traffic Violation,55th at Dorchester,11/2/11 2:30 PM,11/2/11 2:30 PM,UCPD officer arrested motorist for driving without a driver's license,Arrest,A00000
3269,Theft,Ellis at 58th,11/2/11 9:11 AM,11/2/11 9:11 AM,Witness saw unknown male subject remove a secured back pack blower from  the bed of a University owned truck parked on the street ,Open,A00810
3270,Void,Void,Void,Void,Number generated in error,Void,A00811
3271,Found Property,5815 S. Maryland (Mitchell Hospital),11/1/11 5:26 AM,11/1/11 4:00 AM,"Several bottles of medication, not prescribed for patient, found in patient's room / Turned over to CPD",Closed,A00806
3272,Theft,6043 S. Drexel (Construction Site),11/1/11 2:04 PM,10/30/11 to 10/31/11 6:00 AM to 2:00 PM,Unknown person took 750 feet of copper wire from construction site,Open,A00807
3273,Theft,1155 E. 60th St.,11/1/11 7:22 PM,11/1/11 12:00 PM to 3:00 PM,Unknown person took wallet from unattended purse left in 2nd floor room / Subsequent unauthorized use of credit card reported,Open,A00808
3274,Damage to Property,Unknown,10/31/11 8:27 AM,9/25/11 to 10/18/11 3:00 PM to 8:00 AM,"Damage reported to left rear and right rear of a University owned vehicle / Date, location and cause of damage is unknown",Closed,A00799
3275,Lost Property,5815 S. Maryland (UCMC),10/31/11 12:41 PM,10/24/11 to 10/27/11 4:00 PM to 12:00 PM,Patient reports losing ring after being admitted to hospital,Closed,A00800
3276,Theft,6031 S. Ellis (Bike Rack),10/31/11 2:14 PM,10/30/11 to 10/31/11 4:30 PM to 9:15 AM,Bicycle secured to building railing with a U-lock taken by unknown person,Open,A00801
3277,Criminal Damage to Property,Hyde Park between Kimbark &amp; Kenwood,10/31/11 4:17 PM,10/31/11 4:15 PM,Unknown person threw a brick shattering entrance way window / Three unknown male youths seen fleeing the scene,Open,A00802
3278,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1319950800,,,,,,
3279,Theft from Motor Vehicle,62nd at Woodlawn,10/29/11 7:59 PM,10/28/11 to 10/29/11 6:00 PM to 7:45 PM,Unknown person smashed driver's side window of car parked on the street / Took in-dash navigation system,Open,A00796
3280,Traffic Violation,55th at Drexel,10/29/11 8:05 AM,10/29/11 8:05 AM,UCPD officer arrested motorist for speeding and driving with a suspended driver's license,Arrest,A00000
3281,Theft,Maryland at 54th,10/28/11 2:51 PM,10/28/11 12:00 AM to 10:00 AM,"Unknown person took unattended, unsecured bicycle from 2nd floor hallway of apartment building",Open,A00794
3282,Burglary,54th Pl. between Ingleside &amp; Ellis,10/27/11 1:00 PM,10/27/11 10:20 AM to 12:00 PM,"Unknown person(s) gained entry to apartment by prying door / Took 3 laptop computers, and jewelry",Open,A00792
3283,Public Peace Violation,55th &amp; Blackstone,10/26/11 1:32 AM,10/26/11 1:32 AM,UCPD officers arrested a male subject wanted on a warrant,Arrest,A00784
3284,Found Property,48th &amp; East End,10/26/11 9:54 AM,10/25/11 9:30 PM,Wallet found on the street by resident was turned over to CPD for safekeeping,Closed,A00785
3285,Theft,1554 E. 55th St. (Walgreens),10/26/11 11:29 AM,10/26/11 11:25 AM,UCPD officer arrested man who took 2 bottles of hand lotion from drug store and fled,Arrest,A00788
3286,Theft,6031 S. Ellis (Bike Rack),10/26/11 11:55 AM,10/25/11 to 10/26/11 10:00 PM to 10:00 AM,Bicycle secured to bike rack with U-lock taken by unknown person,Open,A00786
3287,Burglary,Drexel between 54th &amp; 55th,10/25/11 12:20 PM,10/25/11 12:20 PM,Three male suspects forced entry to apartment / Arrested by UCPD,Arrest,A00780
3288,Damage to Property,900 E. 57th St. (Knapp Center),10/25/11 2:52 PM,10/24/11 to 10/25/11 4:30 PM to 12:00 PM,Latch on storage cabinet damaged,Closed,A00781
3289,Lost Property,Unknown (Campus Area),10/25/11 6:47 PM,10/25/11 1:00 AM to 10:00 AM,Man reported losing his wallet while walking around campus / Called later to report wallet was found and returned to him intact,Closed,A00782
3290,Void,Void,Void,Void,Void,Void,A00777
3291,Theft,5812 S. Ellis (Bike Rack),10/24/11 10:40 AM,10/23/11 7:00 am to 1:00 pm,Bicycle chained to bike rack taken by unknown person,Open,A00778
3292,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1319346000,,,,,,
3293,Damage to Vehicle,60th &amp; Drexel,10/22/11 10:56 AM,10/20/11 to 10/22/11 4:35 PM to 10:48 AM,Rear passenger's side window of car parked on the street broken,Closed,A00772
3294,Injured Person,5550 S. Greenwood (Smart Museum),10/22/11 12:35 PM,10/22/11 12:25 PM,Woman fainted and struck her head on the wall / Transported to ER by CFD EMS,Closed,A00773
3295,Void,Void,Void,Void,Number generated in error,Void,A00774
3296,Theft,56th &amp; Cottage Grove,10/21/11 11:38 AM,10/21/11 11:37 AM,UCPD officers arrested two men for theft from motor vehicles,Arrest,A00766
3297,Theft,1100 E. 57th St. (Regenstein Library),10/21/11 4:27 PM,10/21/11 4:05 PM to 4:25 PM,Unattended back pack containing a laptop computer taken from 2nd floor study area,Open,A00767
3298,Theft,1100 E. 57th St. (Regenstein Library Bike Rack),10/21/11 5:54 PM,10/19/11 to 10/21/11 9:00 PM to 4:00 PM,Bicycle chained to bike rack taken by unknown person,Open,A00769
3299,Theft,1010 E. 59th St. (Classics),10/21/11 6:10 PM,10/21/11 5:40 PM to 6:00 PM,"Four complainants left property unattended in unsecured room / returned to discover book bags, laptop computers, cell phone, purse, wallet were taken by unknown person(s)",Open,A00768
3300,Traffic Violation,Kenwood between 61st &amp; 62nd,10/20/11 11:48 AM,10/20/11 11:48 AM,UCPD officer arrested motorist for driving with a suspended driver's license,Arrest,A00000
3301,Traffic Crash,Midway Pl. between Kenwood &amp; Dorchester,10/20/11 11:52 AM,10/20/11 11:45 AM,Traffic Crash,Closed,A00760
3302,Theft,5550 S. University (Crown Field House),10/20/11 1:19 PM,10/13/11 to 10/20/11 9:00 PM to 1:15 PM,Wooden bench taken from area in front of field house,Open,A00761
3303,Theft,1100 E. 57th St. (Regenstein Library),10/20/11 4:14 PM,10/20/11 4:00 PM to 4:10 PM,Unattended laptop computer taken from desk on 2nd floor of library,Open,A00762
3304,Lost Property,Unknown,10/19/11 6:50 AM,10/17/11 to 10/19/11 7:30 AM to 6:00 AM,Complainant reported lost ID card / Called later to report it was found,Closed,A00756
3305,Theft,5706 S. University (Hutchinson Commons),10/19/11 10:44 AM,10/18/11 10:35 AM to 1:15 PM,Complainant placed back pack on the back of her chair while she dined / Unknown person removed wallet from back pack / Unauthorized use of credit card subsequently reported,Open,A00757
3306,Lost Property,5840 S. Kenwood (Lab School),10/19/11 12:27 PM,10/19/11 11:05 AM to 12:20 PM,Complainant reported lap top computer missing / Later found and returned to owner,Closed,A00758
3307,Void,Void,Void,Void,Number generated in error,Void,A00753
3308,Theft,1010 E. 59th St. (Classics),10/18/11 12:30 PM,10/18/11 12:25 AM,Unattended back pack taken from hallway on 2nd floor of building,Open,A00752
3309,Theft,57th St. Between Kimbark &amp; Kenwood,10/18/11 1:14 PM,10/12/11 6:00 PM to 7:00 PM,Unknown person removed wallet from purse that was draped over arm of chair in restaurant / Subsequent unauthorized use of credit cards reported,Open,A00754
3310,Criminal Damage to Vehicle,Ingleside between 51st &amp; 52nd,10/17/11 7:13 AM,10/16/11 to 10/17/11  7:00 PM to 6:40 AM,Unknown person slashed tires of two family cars parked on the street,Open,A00748
3311,Theft from Motor Vehicle,5840 S. Maryland (Parking Structure),10/17/11 11:58 AM,10/17/11 10:50 AM to 11:55 AM,Unknown person smashed front passenger's side window of car parked on 6th floor / Took GPS from dashboard and two duffle bags of clothing,Open,A00749
3312,Theft from Motor Vehicle,5840 S. Maryland (Parking Structure),10/17/11 1:55 PM,10/17/11 8:15 AM to 1:55 PM,Unknown person smashed front passenger's side window of car parked on 4th floor / Took Garmin GPS from dashboard.,Open,A00750
3313,Theft,54th near Woodlawn,10/16/11 12:26 PM,10/15/11 to 10/16/11 5:00 PM to 10:00 AM,Bicycle chained to city light pole taken by unknown person,Open,A00746
3314,Traffic Violation,Midway Pl. at Ellis,10/16/11 2:32 PM,10/16/11 2:30 PM,UCPD officer arrested a motorist for driving without a valid driver's license and no insurance,Arrest,A00000
3315,Traffic Violation,Cottage Grove at 60th,10/16/11 8:35 PM,10/16/11 8:35 PM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,A00000
3316,Theft,5550 S. University (Crown Field House),10/15/11 10:15 AM,10/13/11 3:15 PM to 4:15 PM,Unattended back pack containing  MacBook computer taken from hallway,Open,A00740
3317,Theft from Motor Vehicle,60th at Drexel,10/15/11 11:58 AM,10/13/11 to 10/14/11 9:30 PM to 2:00 AM,Unknown person smashed passenger's side vent window of car parked on the street / Took Garmin GPS and can of chemical spray,Open,A00741
3318,Theft from Motor Vehicle,Blackstone at 52nd,10/15/11 12:54 PM,10/14/11 to 10/15/11 7:00 PM to 11:00 AM,Unknown person took catalytic converter from car parked on the street,Open,A00742
3319,Theft,Hyde Park between 55th &amp; 56th,10/15/11 12:54 PM,10/8/11 to 10/15/11 1:00 PM to 12:45 PM,Unsecured bicycle taken from rear yard of apartment building,Open,A00743
3320,Traffic Crash,5505 S. Ellis,10/14/11 9:52 AM,10/12/11 7:00 PM,Traffic crash report,Closed,A00737
3321,Traffic Violation,61st at Ellis,10/14/11 2:30 PM,10/14/11 2:30 PM,UCPD officer arrested motorist for driving without a valid driver's license,Arrest,A00000
3322,Burglary,Ridgewood between 54th &amp; 55th,10/14/11 2:56 PM,10/14/11 2:30 PM to 2:55 PM,Two males forced entry to residential apartment arrested by UCPD / Proceeds recovered,Arrest,A00738
3323,Burglary,Cornell between 55th &amp; 56th,10/13/11 8:01 PM,10/13/11 2:00 PM to 7:30 PM,Front door of apartment forced open by unknown person(s) / Jewelry and cash taken,Open,A00736
3324,Theft from Motor Vehicle,5840 S. Maryland (Parking Structure),10/13/11 8:20 PM,10/13/11 8:00 AM to 8:15 PM,Unknown person smashed driver's side front window of car parked on 4th floor of structure / Took GPS device from dashboard,Open,A00734
3325,Criminal Trespass to Land,1020 E. 58th St. (Kent),10/12/11 10:56 AM,10/12/11 10:55 AM,Man ignored prior warnings arrested by UCPD for trespass to University property,Arrest,A00729
3326,Possession of Cannabis,Payne Dr. between 57th &amp; 58th,10/12/11 11:36 AM,10/12/11 11:35 AM,UCPD officers arrested a man for possession of suspected marijuana,Arrest,A00730
3327,Theft,1414 E. 59th St. (International House),10/12/11 2:57 PM,10/12/11 11:00 AM to 11:50 AM,Unknown person took unsecured bicycle from unlocked closet on the 2nd floor of the building,Open,A00731
3328,Theft from Motor Vehicle,5840 S. Maryland (Parking Structure),10/12/11 4:39 PM,10/12/11 5:00 AM to 4:30 PM,Unknown person smashed driver's side front window of parked car / Took Tom Tom GPS from dashboard,Open,A00733
3329,Traffic Violation,60th &amp; Woodlawn,10/10/11 4:50 PM,10/10/11 4:50 PM,UCPD officer arrested a motorist for driving without a valid driver's license,Arrest,A00000
3330,Burglary,5840 S. Maryland (Construction Site),10/11/11 11:05 AM,10/8/11 to 10/11/11 5:30 AM to 10:00 AM,"Unknown person(s) cut hole in chain link fence, entered construction storage area taking 20 boxes of copper wire / Arrest by UCPD on 10/12/11",Arrest,A00726
3331,Void,Void,Void,Void,Number generated in error,Void,A00727
3332,Armed Robbery,1025 E. 58th St. (Main Quad),10/10/11 12:07 AM,10/10/11 12:05 AM,"Three males, one armed with a handgun, took property from a man sitting on a bench / Arrest by UCPD 10/24/11",Arrest,A00721
3333,Aggravated Robbery,Hyde Park Blvd. between Harper &amp; Lake Park,10/10/11 12:37 PM,10/10/11 12:33 PM,"Two males, one of whom said he had a handgun - none was displayed - took cell phone from a man on the sidewalk / Arrest by UCPD",Arrest,A00722
3334,Lost Property,Hyde Park between 54th &amp; 55th,10/10/11 2:52 PM,10/8/11 to 10/9/11 5:30 PM to 4:00 PM,Man rented a car and left his back pack in the rear seat / Car was subsequently leased to others / back pack missing,Closed,A00723
3335,Theft,6031 S. Ellis (South Campus Residence Hall),10/10/11 3:30 PM,10/10/11 8:00 AM to 12:00 PM,Complainant left door to his room open for friends while he was away / Discovered cash missing from his desk,Open,A00724
